ID,0007AC2B02,0007CB0942,0007CB44CE,0007CB7051,0007CD6778,0007CD765E,0007CD77C5,0007CDADED,0007CDC443,0007CDDBAF
0007AC2B02,0,55,80,67,37,27,142,51,44,81
0007CB0942,55,0,54,20,8,3,62,24,20,8
0007CB44CE,80,54,0,32,30,3,108,33,8,46
0007CB7051,67,20,32,0,18,23,41,21,20,39
0007CD6778,37,8,30,18,0,3,27,10,13,24
0007CD765E,27,3,3,23,3,0,14,22,5,16
0007CD77C5,142,62,108,41,27,14,0,34,30,82
0007CDADED,51,24,33,21,10,22,34,0,42,13
0007CDC443,44,20,8,20,13,5,30,42,0,30
0007CDDBAF,81,8,46,39,24,16,82,13,30,0
